"Story","Title","Result","Date","Stability","Duration (s)"
"Cart","Didn't add anything to cart","SUCCESS","2022-11-08T08:33:55.9961094+07:00[Asia/Jakarta]","0.0","1.07"
"Cart","Add order to cart","SUCCESS","2022-11-08T08:33:57.424364+07:00[Asia/Jakarta]","0.0","0.14"
"Login","Login with null email and null password","SUCCESS","2022-11-08T08:33:57.6073385+07:00[Asia/Jakarta]","0.0","0.06"
"Login","Login with invalid email and valid password","SUCCESS","2022-11-08T08:33:57.7643496+07:00[Asia/Jakarta]","0.0","0.07"
"Login","Login with valid email and invalid password","SUCCESS","2022-11-08T08:33:57.8793407+07:00[Asia/Jakarta]","0.0","0.05"
"Login","Login with valid email and valid password","SUCCESS","2022-11-08T08:33:57.9783628+07:00[Asia/Jakarta]","0.0","0.05"
"Login","Login with null email and invalid password","SUCCESS","2022-11-08T08:33:58.0663609+07:00[Asia/Jakarta]","0.0","0.05"
"Login","Login with valid email and null password","SUCCESS","2022-11-08T08:33:58.1633473+07:00[Asia/Jakarta]","0.0","0.05"
"Logout","Success logout","SUCCESS","2022-11-08T08:33:58.262349+07:00[Asia/Jakarta]","0.0","0.04"
"Register","register with null full name , null email and null password","SUCCESS","2022-11-08T08:33:58.3413459+07:00[Asia/Jakarta]","0.0","0.07"
"Register","register with full name, null email and null password","SUCCESS","2022-11-08T08:33:58.5646966+07:00[Asia/Jakarta]","0.0","0.12"
"Register","register null full name , with email and null password","SUCCESS","2022-11-08T08:33:58.7163856+07:00[Asia/Jakarta]","0.0","0.06"
"Register","register with full name, null email and with password","SUCCESS","2022-11-08T08:33:58.8413871+07:00[Asia/Jakarta]","0.0","0.07"
"Register","register with full name , with email and null password","SUCCESS","2022-11-08T08:33:58.9593826+07:00[Asia/Jakarta]","0.0","0.07"
"Register","register with full name, with email and with password","SUCCESS","2022-11-08T08:33:59.055387+07:00[Asia/Jakarta]","0.0","0.06"
"Register","register with full name , invalid email / within @, with password","SUCCESS","2022-11-08T08:33:59.1963999+07:00[Asia/Jakarta]","0.0","0.17"
